[ 2012-12-10T09:12:33+08:00 ] /nextUpFile/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.008537s ]
[ 2012-12-10T09:12:33+08:00 ] /nextUpFile/ | INFO: Tag[ view_filter ] --START--
[ 2012-12-10T09:12:33+08:00 ] /nextUpFile/ | INFO: Run ContentReplace Behavior [ RunTime:0.000406s ]
[ 2012-12-10T09:12:33+08:00 ] /nextUpFile/ | INFO: Run TokenBuild Behavior [ RunTime:0.000446s ]
[ 2012-12-10T09:12:33+08:00 ] /nextUpFile/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000261s ]
[ 2012-12-10T09:12:33+08:00 ] /nextUpFile/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000506s ]
[ 2012-12-10T09:12:33+08:00 ] /nextUpFile/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001838s ]
[ 2012-12-10T09:12:33+08:00 ] /nextUpFile/ | INFO: Tag[ view_end ] --START--
[ 2012-12-10T09:12:33+08:00 ] /nextUpFile/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000484s ]
[ 2012-12-10T09:12:33+08:00 ] /nextUpFile/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000561s ]
[ 2012-12-10T09:12:35+08:00 ] /nextUpFile/index.php/Index/uploadify | INFO: Tag[ route_check ] --START--
[ 2012-12-10T09:12:35+08:00 ] /nextUpFile/index.php/Index/uploadify | INFO: Run CheckRoute Behavior [ RunTime:0.000928s ]
[ 2012-12-10T09:12:35+08:00 ] /nextUpFile/index.php/Index/uploadify | INFO: Tag[ route_check ] --END-- [ RunTime:0.001042s ]
[ 2012-12-10T09:12:35+08:00 ] /nextUpFile/index.php/Index/uploadify | INFO: Tag[ app_begin ] --START--
[ 2012-12-10T09:12:35+08:00 ] /nextUpFile/index.php/Index/uploadify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000615s ]
[ 2012-12-10T09:12:35+08:00 ] /nextUpFile/index.php/Index/uploadify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000692s ]
[ 2012-12-10T09:12:35+08:00 ] /nextUpFile/index.php/Index/uploadify | NOTIC: [8] Undefined property: UploadFile::$zipImags UploadFile.class.php 第 172 行.
[ 2012-12-10T09:12:54+08:00 ] /nextUpFile/index.php | INFO: Tag[ app_begin ] --START--
[ 2012-12-10T09:12:54+08:00 ] /nextUpFile/index.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001063s ]
[ 2012-12-10T09:12:54+08:00 ] /nextUpFile/index.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001177s ]
[ 2012-12-10T09:12:54+08:00 ] /nextUpFile/index.php | INFO: Tag[ view_template ] --START--
[ 2012-12-10T09:12:54+08:00 ] /nextUpFile/index.php | INFO: Run LocationTemplate Behavior [ RunTime:0.001314s ]
[ 2012-12-10T09:12:54+08:00 ] /nextUpFile/index.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.001402s ]
[ 2012-12-10T09:12:54+08:00 ] /nextUpFile/index.php | INFO: Tag[ view_parse ] --START--
[ 2012-12-10T09:12:54+08:00 ] /nextUpFile/index.php | INFO: Run ParseTemplate Behavior [ RunTime:0.011257s ]
[ 2012-12-10T09:12:54+08:00 ] /nextUpFile/index.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.011362s ]
[ 2012-12-10T09:12:54+08:00 ] /nextUpFile/index.php | INFO: Tag[ view_filter ] --START--
[ 2012-12-10T09:12:54+08:00 ] /nextUpFile/index.php | INFO: Run ContentReplace Behavior [ RunTime:0.000878s ]
[ 2012-12-10T09:12:54+08:00 ] /nextUpFile/index.php | INFO: Run TokenBuild Behavior [ RunTime:0.000921s ]
[ 2012-12-10T09:12:54+08:00 ] /nextUpFile/index.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000729s ]
[ 2012-12-10T09:12:54+08:00 ] /nextUpFile/index.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000973s ]
[ 2012-12-10T09:12:54+08:00 ] /nextUpFile/index.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003736s ]
[ 2012-12-10T09:12:54+08:00 ] /nextUpFile/index.php | INFO: Tag[ view_end ] --START--
[ 2012-12-10T09:12:54+08:00 ] /nextUpFile/index.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000961s ]
